# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416687675;-70823.03;0.37;70745.32
axle;60;1416687735;32396.56;0.23;-33890.54
axle;60;1416687795;-6026.94;0.23;7591.68
axle;60;1416687855;-11363.20;0.22;4640.23
axle;60;1416687915;6509.70;0.23;218.93
axle;60;1416687975;-7282.81;0.30;6689.68
axle;60;1416688035;-11174.07;0.35;11647.37
axle;60;1416688095;-4307.67;0.23;4499.85
axle;60;1416688155;-70.48;0.17;5.73
axle;60;1416688215;-10283.32;0.22;8455.89
axle;60;1416688275;-2506.87;0.43;346.21
